sla_incumplido;Tiempo_Resolucion_horas;Impacto;Prioridad;Nivel_1_Categorizacion;Nivel_2_Categorizacion;Nivel_3_Categorizacion;Servicio;Tipo_Incidencia;Fuente_Reportada;Tipo_Solucion;Categoria_Resolucion;Total_Transferencias;Indisponibilidad_Minutos;Reapertura;Incidente_Mayor;anio;mes;dia_semana;hora_creacion;es_fin_de_semana;prob_incumplir_SLA_temprano
0;30,978889;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;234,000000;No;No;2025;10;3;2;0;0,384116
1;153,825000;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;289,000000;No;No;2025;10;3;3;0;0,387766
1;149,830833;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;776,000000;No;No;2025;10;3;7;0;0,402487
0;27,100278;4-Menor/Localizado;Baja;Conectividad;Networking;Apertura Simple;Conectividad Nacional;Restauración de servicio a usuario;Monitoreo Proactivo;Remoto;Conectividad - Acceso;0,000000;189,000000;No;No;2025;10;3;7;0;0,238104
1;149,505833;2-Significativo/Amplio;Alta;IoT y Analítica;Movilidad Avanzada;Sin servicio;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;Movilidad;1,000000;51,000000;No;No;2025;10;3;9;0;0,477249
1;148,997778;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;44,000000;No;No;2025;10;3;10;0;0,413646
1;148,964444;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;91,000000;No;No;2025;10;3;10;0;0,413646
1;148,964444;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;91,000000;No;No;2025;10;3;10;0;0,413646
1;149,558611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;91,000000;No;No;2025;10;3;11;0;0,417386
1;149,558611;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;91,000000;No;No;2025;10;3;11;0;0,417386
1;149,039722;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;22,000000;No;No;2025;10;3;11;0;0,417386
1;96,019167;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;;No;No;2025;10;3;12;0;0,421135
1;243,667500;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;53,000000;No;No;2025;10;3;13;0;0,424894
1;245,528611;4-Menor/Localizado;Baja;IoT y Analítica;Movilidad Avanzada;Servicio Intermitente;Iot - Conectividad Gestionada;Infrastructure Event;Monitoreo Proactivo;Remoto;IoT y Analítica;1,000000;376,000000;No;No;2025;10;3;13;0;0,422308
1;93,407778;2-Significativo/Amplio;Alta;Conectividad;Networking;Servicio caído;Conectividad Nacional;Infrastructure Event;Monitoreo Proactivo;Remoto;Conectividad - Acceso;1,000000;181,000000;No;No;2025;10;3;15;0;0,432437
