sla_incumplido,Tiempo_Resolucion_horas,Impacto,Prioridad,Nivel_1_Categorizacion,Nivel_2_Categorizacion,Nivel_3_Categorizacion,Servicio,Tipo_Incidencia,Fuente_Reportada,Tipo_Solucion,Categoria_Resolucion,Total_Transferencias,Indisponibilidad_Minutos,Reapertura,Incidente_Mayor,anio,mes,dia_semana,hora_creacion,es_fin_de_semana,prob_incumplir_SLA
0,30.40222222222222,2-Significativo/Amplio,Alta,IoT y Analítica,Movilidad Avanzada,Sin servicio,Iot - Conectividad Gestionada,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,0.0,No,,2025,8,2,0,0,7.643461513474631e-20
1,321.8513888888889,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,3,,No,,2025,8,2,3,0,1.0
0,31.109166666666667,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,0,779.0,No,No,2025,8,2,7,0,8.31773130999192e-17
1,340.69972222222225,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,426.0,No,,2025,8,2,8,0,1.0
0,25.55388888888889,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,0,6.0,No,No,2025,8,2,9,0,2.339273674360598e-22
1,367.3247222222223,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,105.0,No,No,2025,8,2,9,0,1.0
1,367.30805555555554,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,105.0,No,No,2025,8,2,9,0,1.0
1,341.04027777777776,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,60.0,No,No,2025,8,2,9,0,1.0
1,363.8811111111111,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,6.0,No,No,2025,8,2,11,0,1.0
0,45.11472222222222,4-Menor/Localizado,Baja,Conectividad,Networking,Apertura Simple,Conectividad Nacional,Restauración de servicio a usuario,Monitoreo Proactivo,Remoto,Conectividad - Acceso,0,260.0,No,No,2025,8,2,11,0,9.050031087593008e-13
1,168.3725,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.36916666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.36916666666667,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.36888888888888,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35444444444445,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35416666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35416666666666,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35361111111112,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
1,168.35194444444446,2-Significativo/Amplio,Alta,Conectividad,Networking,Servicio caído,Conectividad Nacional,Infrastructure Event,Monitoreo Proactivo,Remoto,Conectividad - Acceso,1,49.0,No,No,2025,8,2,12,0,1.0
